point_type,point_id,x_ned,y_ned,latitude,longitude,origin_latitude,origin_longitude
100,0,-9.076062330504001,-75.78595322783383,-8.153212808446861e-05,-0.0006808007504320623,0.0,0.0
100,1,-14.774343953476851,-56.361653874323615,-0.0001327209597856494,-0.0005063082882638886,0.0,0.0
100,2,-19.419909058426445,-38.19685633520711,-0.00017445302324763042,-0.00034313018903355354,0.0,0.0
100,3,-21.064066059235238,-30.287854391374374,-0.00018922282256141217,-0.0002720820035955109,0.0,0.0
100,4,-24.244864303559922,-26.967056572958164,-0.00021779658510549682,-0.0002422505961839777,0.0,0.0
100,5,-28.67395683642323,-31.191839357525218,-0.0002575840310856438,-0.0002802026858212082,0.0,0.0
100,6,-32.02222989646973,-27.5000695287983,-0.00028766225422388527,-0.00024703876080909063,0.0,0.0
100,7,-35.183181124453604,-24.70791284102644,-0.00031605772695246753,-0.0002219562450209163,0.0,0.0
100,8,-37.02159505945501,-23.59638172443192,-0.0003325725761197146,-0.00021197113318850074,0.0,0.0
